// This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
AFB_m_1,AFB_m_2,AFB_m_3,AFB_m_4,AFB_m_5,AFB_m_6,AFB_m_7,AFB_m_8,AFB_m_9,AFB_m_10,AFB_m_11,AFB_m_12,AFB_ta_1,AFB_ta_2,AFB_ta_3,AFB_ta_4,AFB_ta_5,AFB_ta_6,AFB_ta_7,AFB_ta_8,AFB_ta_9,AFB_ta_10,AFB_ta_11,AFB_ta_12
-1.76691e-06,-4.83859e-06,-1.33349e-05,-1.56356e-05,-1.73416e-05,-1.84226e-05,-1.87345e-05,-1.93602e-05,-1.97417e-05,-2.01579e-05,-2.03553e-05,-2.03953e-05,-1.76691e-06,-4.83859e-06,-1.33349e-05,-1.56356e-05,-1.73416e-05,-1.84226e-05,-1.87345e-05,-1.93602e-05,-1.97417e-05,-2.01579e-05,-2.03553e-05,-2.03953e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31933e-05,2.86685e-05,4.4228e-05,4.78877e-05,5.02308e-05,5.20328e-05,5.23012e-05,5.32889e-05,5.36115e-05,5.43587e-05,5.43577e-05,5.42091e-05,2.31933e-05,2.86685e-05,4.4228e-05,4.78877e-05,5.02308e-05,5.20328e-05,5.23012e-05,5.32889e-05,5.36115e-05,5.43587e-05,5.43577e-05,5.42091e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
